,[Paul McCartney],[Instrumental],title,[Verse 1: John Lennon],[Verse 2: John Lennon],[Bridge: Paul McCartney],[Verse 1: John Lennon]2,[Verse 1],[Chorus],[Verse 2],[Chorus]2,[Bridge],[Verse 2]2,[Verse 3],[Chorus]3,[x2],[Intro],[Pre-Chorus],[Refrain: John Lennon],[Bridge]2,[Chorus 1],[Instrumental Break],[Outro],[Verse],[Chorus 2],[Chorus 3],[Verse 4],[Bridge 1],[Bridge 2],[Verse 1: Paul McCartney and John Lennon],[Interlude: Paul McCartney],"[Bridge 1: John Lennon, <br/>& McCartney<br/>, <br/>& McCartney and George Harrison<br/>]",[Bridge 2: Paul McCartney],[Instrumental Verse],[Bridge 2: Paul McCartney]2,[Guitar Solo],[Instrumental Break 0:23-0:44],[Transition],[Engineer],[Verse 1]2,[Interlude],[Verse 1: Paul McCartney & John Lennon],[Chorus: Paul McCartney & John Lennon],[Verse 2: Paul McCartney & John Lennon],[Chorus: Paul McCartney & John Lennon]2,[Guitar Solo: John Lennon],[Spoken],[Chorus: John Lennon & Paul McCartney],[Chorus: John Lennon & Paul McCartney]2,[Intro: John Lennon & Paul McCartney],[Verse 1: John Lennon & Paul McCartney],[Verse 2: John Lennon & Paul McCartney],[Bridge: John Lennon & Paul McCartney],[Verse 1: John Lennon & Paul McCartney]2,[Intro: Paul McCartney & <br/>John Lennon<br/>],[Verse 1: Paul McCartney],[Chorus: Paul McCartney],[​​Interlude: Paul McCartney],"[Chorus: John Lennon, Paul McCartney, George Harrison]","[Chorus: John Lennon, Paul McCartney, George Harrison]2","[Bridge: John Lennon, <br/>Paul McCartney & George Harrison<br/>]",[Refrain],[Refrain]2,[Instrumental bridge],[Verse 2]3,[Bridge: John Lennon & Paul McCartney & George Harrison],[Chorus: John Lennon & Paul McCartney]3,[Guitar solo],[French Horn Solo],[Chorus: John Lennon],[Chorus: John Lennon]2,[Bridge: George Harrison],"[Intro: Paul McCartney, John Lennon and George Harrison]",[Verse 1: Paul McCartney (& John Lennon and George Harrison)],[Chorus: Paul McCartney (& John Lennon and George Harrison)],[Verse 2: Paul McCartney],[Chorus: Paul McCartney (& John Lennon and George Harrison)]2,"[Intro: Paul McCartney, John Lennon, George Harrison]",[Verse 1: John Lennon <br/>with Paul McCartney<br/>],[Verse 3: John Lennon with Paul McCartney],[Scatting],"[Verse 3: John Lennon, Paul McCartney & <br/>Ringo Starr<br/>]"
67,,,For You Blue,,,,,"<br/>Because you're sweet and lovely, girl, I love you<br/>Because you're sweet and lovely, girl, it's true<br/>I love you more than ever, girl, I do<br/>",,"<br/>I want you in the morning, girl, I love you<br/>I want you at the moment I feel blue<br/>I'm living every moment, girl, for you<br/>(Bop, bop cat bop)<br/>(Go, Johnny, go)<br/>(Them ol' 12-bar blues)<br/>(Elmore James got nothing on this, baby)<br/>",,,,<br/>I've loved you from the moment I saw you<br/>You looked at me and that's all you had to do<br/>I feel it now I hope you feel it too,,,<br/>(Queen says no to pot-smoking FBI members)<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,Glad All Over,,,,,"<br/>I have no doubt about it<br/>This must be love<br/>One little kiss from you<br/>And I feel glad all over<br/>Ooh baby, hot dang gilly<br/>It's silly<br/>But I'm glad all over<br/>",,"<br/>Yeah the goose pimples baby<br/>Because I feel so good<br/>When you call me like you do<br/>And I feel glad all over<br/>Ooh mercy, I'm rock gone puppy<br/>And I'm happy<br/>And I'm glad all over<br/>",,,,"<br/>Your touch sewed me<br/>Like an electric wire<br/>Never thought of make love<br/>It don't take much looking<br/>To see what I've got<br/>But it shows, yes it shows<br/>Come on honey Bonnie<br/>Give me one more time<br/>Every time you do<br/>Well I feel glad all over<br/>Ooh baby, hot dang gilly<br/>It's silly<br/>But I'm glad all over<br/>Yeah!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,Happiness is a Warm Gun,,<br/>(<br/>...down<br/>)<br/>I need a fix 'cause I'm going down<br/>Down to the bits that I left uptown<br/>I need a fix 'cause I'm going down<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<br/>She's not a girl who misses much<br/>Do do do do do do, oh yeah<br/>She's well-acquainted with the touch of the velvet hand<br/>Like a lizard on a window pane<br/>The man in the crowd with the multicoloured mirrors<br/>On his hobnail boots<br/>Lying with his eyes while his hands are busy<br/>Working overtime<br/>A soap impression of his wife which he ate<br/>And donated to the National Trust<br/>",<br/>Mother Superior jumped the gun<br/>Mother Superior jumped the gun<br/>Mother Superior jumped the gun<br/>Mother Superior jumped the gun<br/>Mother Superior jumped the gun<br/>Mother Superior jumped the gun,,
70,,,Hello Little Girl,,,,,"<br/>When I see you everyday<br/>I say, ""Mm mm hello little girl""<br/>When you're passing on your way<br/>I say, ""Mm mm hello little girl""<br/>When I see you passing by<br/>I cry, ""Mm mm hello little girl""<br/>When I try to catch your eye<br/>I cry, ""Mm mm hello little girl""<br/>",,"<br/>I send you flowers but you don't care<br/>You never seem to see me standing there<br/>I often wonder what you're thinking of<br/>I hope it's me and love love love<br/>So I hope there'll come a day<br/>When you'll say, ""Mm you're my little girl""<br/>",,,,<br/>It's not the first time that it's happened to me<br/>It's been a long lonely time<br/>And it's funny funny to see that I'm about to lose my mind mind mind,,,<br/>Hello little girl<br/>Hello little girl<br/>Hello little girl<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,Everybody’s Trying to Be My Baby,,,,,<br/>Well they took some honey from a tree<br/>Dressed it up and they called it me<br/>,"<br/>Everybody's trying to be my baby<br/>Everybody's trying to be my baby<br/>Everybody's trying to be my baby, now<br/>","<br/>Woke up last night, half past four<br/>Fifty women knocking on my door<br/>","<br/>Everybody's trying to be my baby<br/>Everybody's trying to be my baby<br/>Everybody's trying to be my baby, now<br/>",,,"<br/>Went out last night, I didn't stay late<br/>Before I got home I had nineteen dates<br/>","<br/>Everybody's trying to be my baby<br/>Everybody's trying to be my baby<br/>Everybody's trying to be my baby, now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,From Us to You (Live at the BBC / Opening Theme from “From Us to You” / 1964),,,,,,,,,,,,,,<br/>Da da da da da dum dum dum<br/>Da da da da da dum dum dum<br/>Da da da da da dum dum dum<br/>,,,,,,,<br/>If there's anything that you want<br/>If there's anything we can do<br/>Just call on us and we'll send it along<br/>With love from us to you<br/>To you<br/>To you<br/>To you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,Goodbye (Home Demo),,,,,"<br/>Please don't wake me up too late<br/>Tomorrow comes, and I will not be late<br/>Late today when it becomes tomorrow<br/>I will leave and go away<br/>","<br/>Goodbye, goodbye<br/>Goodbye, goodbye<br/>Goodbye, goodbye<br/>My love, goodbye<br/>",<br/>Songs that linger on my lips<br/>Excite me now and linger on my mind<br/>Leave your flowers at my door<br/>I leave them for the one who waits behind<br/>,"<br/>Goodbye, goodbye<br/>Goodbye, goodbye<br/>Goodbye, goodbye<br/>My love, goodbye<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,Helter Skelter,,,,,"<br/>Well, do you, don't you want me to love you?<br/>I'm coming down fast, but I'm miles above you<br/>Tell me, tell me, tell me, come on, tell me the answer!<br/>Well, you may be a lover, but you ain't no dancer<br/>","<br/>Now, Helter skelter<br/>Helter skelter<br/>Helter skelter<br/>Yeah<br/>Woo!<br/>","<br/>Oh, will you, won't you want me to make you?<br/>I'm coming down fast, but don't let me break you<br/>Tell me, tell me, tell me the answer!<br/>You may be a lover, but you ain't no dancer<br/>",<br/>Look out!<br/>Helter skelter<br/>Helter skelter<br/>Helter skelter<br/>Ooh!,,,,,,"<br/>When I get to the bottom, I go back to the top of the slide<br/>Where I stop, and I turn, and I go for a ride<br/>'Til I get to the bottom, and I see you again!<br/>Yeah, yeah, yeah!<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,Here Comes the Sun,,,,,"<br/>Little darling, it's been a long cold lonely winter<br/>Little darling, it feels like years since it's been here<br/>","<br/>Here comes the sun, doo da doo doo<br/>Here comes the sun, and I say<br/>It's all right<br/>","<br/>Little darling, the smile's returning to the faces<br/>Little darling, it seems like years since it's been here<br/>","<br/>Here comes the sun, doo da doo doo<br/>Here comes the sun, and I say<br/>It's all right<br/>","<br/>Sun, sun, sun, here it comes<br/>Sun, sun, sun, here it comes<br/>Sun, sun, sun, here it comes<br/>Sun, sun, sun, here it comes<br/>Sun, sun, sun, here it comes",,,"<br/>Here comes the sun<br/>Here comes the sun, and I say<br/>It's all right<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,Her Majesty,,,,,,,,,,,,,,,,,,,,,"<br/>Her Majesty's a pretty nice girl<br/>But she doesn't have a lot to say<br/>Her Majesty's a pretty nice girl<br/>But she changes from day to day<br/>I want to tell her that I love her a lot<br/>But I gotta get a bellyful of wine<br/>Her Majesty's a pretty nice girl<br/>Someday I'm going to make her mine, oh yeah<br/>Someday I'm going to make her mine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,Hippy Hippy Shake,,,,,<br/>For goodness sake<br/>I got the hippy hippy shake<br/>I've got to shake<br/>Who the hippy hippy shake<br/>,<br/>Well now you shake it to the left<br/>Shake it to the right<br/>Do the hippy shake shake<br/>With all of you might<br/>,<br/>Who I can't keep still<br/>With the hippy hippy shake<br/>I get my fill<br/>With the hippy hippy shake<br/>Ooh my baby<br/>Oh the hippy hippy shake<br/>,,,,<br/>Then you shake<br/>Who yes you shake<br/>Ooh my baby<br/>Ow the hippy hippy shake<br/>Aah! Ow!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,Hey Bulldog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<br/>Sheepdog<br/>Standing in the rain<br/>Bullfrog<br/>Doing it again<br/>Some kind of happiness is measured out in miles<br/>What makes you think you're something special when you smile?<br/>,<br/>Child-like<br/>No one understands<br/>Jack knife<br/>In your sweaty hands<br/>Some kind of innocence is measured out in years<br/>You don't know what it's like to listen to your fears<br/>,,,,,,,,,,,,,,,,,,<br/>You can talk to me<br/>You can talk to me<br/>You can talk to me<br/>If you're lonely you can talk to me<br/>,,,,,,,,,,,,<br/>Big man <br/>(<br/>Yeah<br/>)<br/>Walking in the park<br/>Wigwam<br/>Frightened of the dark<br/>Some kind of solitude is measured out in you<br/>You think you know me but you haven't got a clue
