,title,date,album,lyrics
157,Roll Over Beethoven,"November 22, 1963",With the Beatles,"

[Verse 1: George Harrison]
Well, gonna write a little letter
Gonna mail it to my local DJ
It's a rocking little record
I want my jockey to play
Roll over Beethoven
Gotta hear it again today

[Verse 2: George Harrison]
You know my temperature's rising
And the jukebox blows a fuse
My heart's beating rhythm
And my soul keeps singing the blues
Roll over Beethoven
And tell Tchaikovsky the news

[Verse 3: George Harrison]
I got a rocking pneumonia
I need a shot of rhythm and blues (Woo)
I think I caught the arthritis
Sitting down by the rhythm revue
Roll over Beethoven
Rocking in two by two

[Verse 4: George Harrison]
Well if you feel it and like it
Well get your lover and reel and rock it
Roll it over and move on up
Just a trifle further and reel and rock it
Roll it over
Roll over Beethoven
Rocking in two by two (Woo)

[Guitar Solo: George Harrison]

[Verse 5: George Harrison]
Well early in the morning
I'm a-giving you the warning
Don't you step on my blue suede shoes
Hey diddle diddle
I'll play my fiddle
Ain't got nothing to lose
Roll over Beethoven
And tell Tchaikovsky the news

[Verse 6: George Harrison]
You know she wiggles like a glow worm
Dance like a spinning top
She's got a crazy partner
Oughta see 'em reel and rock
Long as she got a dime
The music will never stop

[Outro: George Harrison]
Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Dig to these rhythm and blues

"
158,Act Naturally,"August 6, 1965",Help! (UK),"

[Verse 1]
They're gonna put me in the movies
They're gonna make a big star out of me
We'll make a film about a man that's sad and lonely
And all I gotta do is act naturally

[Chorus]
Well I'll bet you I'm gonna be a big star
Might win an Oscar, you can never tell
The movies gonna make me a big star
'Cause I can play the part so well

[Verse 2]
Well I hope you'll come and see me in the movies
Then I know that you will plainly see
The biggest fool that ever hit the big time
And all I gotta do is act naturally

[Verse 3]
We'll make the scene about a man that's sad and lonely
And begging down upon his bended knee
I'll play the part and I won't need rehearsing
All I have to do is act naturally

[Chorus]
Well I'll bet you I'm gonna be a big star
Might win an Oscar, you can never tell
The movies gonna make me a big star
'Cause I can play the part so well

[Verse 2]
Well I hope you'll come and see me in the movies
Then I know that you will plainly see
The biggest fool that ever hit the big time
And all I gotta do is act naturally

"
159,Wild Honey Pie,"November 22, 1968",The Beatles (The White Album),"

[Chorus]
Honey pie
Honey pie

[Chorus]
Honey pie
Honey pie

[Chorus]
Honey pie
Honey pie
Honey pie
Honey pie

[Outro]
I love you, honey pie

"
160,Rock and Roll Music,"December 4, 1964",Beatles for Sale,"

[Chorus]
Just let me hear some of that rock and roll music
Any old way you choose it
It's got a back beat, you can't lose it
Any old time you use it
It's got to be rock and roll music
If you want to dance with me
If you want to dance with me

[Verse 1]
I've got no kick against modern jazz
Unless they try to play it too darn fast
And lose the beauty of the melody
Until they sound just like a symphony

[Chorus]
That's why I go for that that rock and roll music
Any old way you choose it
It's got a back beat, you can't lose it
Any old time you use it
It's got to be rock and roll music
If you want to dance with me
If you want to dance with me

[Verse 2]
I took my loved one over across the tracks
So she can hear my man a wailin' sax
I must admit they have a rocking band
Man, they were blowing like a hurricane

[Chorus]
That's why I go for that rock and roll music
Any old way you choose it
It's got a back beat, you can't lose it
Any old time you use it
It's got to be rock and roll music
If you want to dance with me
If you want to dance with me

[Verse 3]
Way down South they had a jubilee
Them Georgia folks they had a jamboree
They're drinking home brew from a wooden cup
The folks dancing there are all shook up

[Chorus]
And started playing that rock and roll music
Any old time you use it
It's got a back beat, you can't lose it
Any old time you use it
Got to be rock and roll music
If you want to dance with me
If you want to dance with me

[Verse 4]
Don't care to hear them play a tango
And in the mood they take a mambo
It's way to early for a congo
So keep a rocking that piano

[Chorus]
That's why I go for that rock and roll music
Any old time you use it
It's got a back beat, you can't lose it
Any old time you use it
Oh, you got rock 'n roll music
If you want to dance with me
If you want to dance with me

"
161,Maggie Mae,"May 8, 1970",Let It Be,"

Oh, dirty Maggie Mae, they have taken her away
And she never walk down Lime Street anymore
Oh, the judge he guilty found her for robbing a homeward bounder
That dirty no good robbing Maggie Mae
This is a part of Liverpool, they returned me to
Two pounds ten a week, that was my pay

"
162,Boys,"March 22, 1963",Please Please Me,"

[Verse 1]
I been told when a boy kiss a girl
Take a trip around the world
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop)
Yeah, she say you do (Bop shuop)

[Verse 2]
My girl says when I kiss her lips
Gets a thrill through her fingertips
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop)
Yeah, she say you do (Bop shuop)

[Chorus]
Well, I talk about boys (Yeah, yeah, boys)
Don't ya know I mean boys? (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
Aaah, boys (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
What a bundle of joy! (Yeah, yeah, boys)
Alright, George!

[Guitar Solo]

[Verse 2]
My girl says when I kiss her lips
Gets a thrill through her fingertips
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop)
Yeah, she say you do (Bop shuop)

[Chorus]
Well, I talk about boys (Yeah, yeah, boys)
Don't ya know I mean boys? (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
Aaah, boys (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
What a bundle of joy! (Yeah, yeah, boys)

[Outro]
Oh, oh, ah yeah boys (Yeah, yeah, boys)
Don't ya know I mean boys? (Yeah, yeah, boys)
Ooh, boys (Yeah, yeah, boys)
Ah ha (Yeah, yeah, boys)
Well, I talk about boys now (Yeah, yeah, boys)

"
163,It Won’t Be Long,"November 22, 1963",With the Beatles,"

[Chorus]
It won't be long yeah, yeah, yeah
It won't be long yeah, yeah, yeah
It won't be long yeah, till I belong to you

[Verse 1]
Every night when everybody has fun
Here am I sitting all on my own

[Chorus]
It won't be long yeah, yeah, yeah
It won't be long yeah, yeah, yeah
It won't be long yeah, till I belong to you

[Bridge]
Since you left me, I'm so alone
Now you're coming, you're coming on home
I'll be good like I know I should
You're coming home, you're coming home

[Verse 2]
Every night the tears come down from my eyes
Every day I've done nothing but cry

[Chorus]
It won't be long yeah, yeah, yeah
It won't be long yeah, yeah, yeah
It won't be long yeah, till I belong to you

[Bridge]
Since you left me, I'm so alone
Now you're coming, you're coming on home
I'll be good like I know I should
You're coming home, you're coming home

[Verse 3]
So every day we'll be happy I know
Now I know that you won't leave me no more

[Chorus]
It won't be long yeah, yeah, yeah
It won't be long yeah, yeah
It won't be long yeah, till I belong to you

"
164,You Can’t Do That,"March 16, 1964",The Beatles’ Second Album,"

[Verse 1]
I’ve got something to say that might cause you pain
If I catch you talking to that boy again
I’m going to let you down
And leave you flat
Because I told you before
Oh, you can’t do that

[Verse 2]
Well, it’s the second time I’ve caught you talking to him
Do I have to tell you one more time, I think it’s a sin
I think I'll let you down (Let you down)
And leave you flat (Going to let you down and leave you flat)
Because I told you before
Oh, you can’t do that

[Bridge]
Everybody's green
'Cause I'm the one who won your love
But if they'd seen
You talking that way
They'd laugh in my face

[Verse 3]
So please listen to me if you want to stay mine
I can’t help my feelings, I go out of my mind
I'm going to let you down (Let you down)
And leave you flat (Going to let you down and leave you flat)
Because I told you before
Oh, you can’t do that!

[Guitar Solo]
(You can't do that)
(You can't do that)
(You can't do that)
(You can't do that)
(You can't do that)

[Bridge]
Everybody's green
'Cause I'm the one who won your love
But if they'd seen
You talking that way
They'd laugh in my face

[Verse 4]
So please listen to me if you want to stay mine
I can’t help my feelings, I go out of my mind
I'm going to let you down (Let you down)
And leave you flat (Going to let you down and leave you flat)
Because I told you before
Oh, you can’t do that!

"
165,Old Brown Shoe,"May 30, 1969",Hey Jude,"

[Verse 1]
I want a love that's right
But right is only half of what's wrong
I want a short haired girl
Who sometimes wears it twice as long

[Chorus 1]
Now I'm stepping out this old brown shoe
Baby, I'm in love with you
I'm so glad you came here
It won't be the same now, I'm telling you

[Verse 2]
You know you pick me up
From where some try to drag me down
And when I see your smile
Replacing every thoughtless frown

[Chorus 2]
Got me escaping from this zoo
Baby, I'm in love with you
I'm so glad you came here
It won't be the same now when I'm with you

[Bridge]
If I grow up I'll be a singer
Wearing rings on every finger
Not worrying what they or you say
I'll live and love and maybe someday
Who knows, baby, you may comfort me, hey

[Instrumental Verse]

[Bridge]
I may appear to be imperfect
My love is something you can't reject
I'm changing faster than the weather
If you and me should get together
Who knows, baby, you may comfort me

[Verse 3]
I want that love of yours
To miss that love is something I'd hate
I'll make an early start
I'm making sure that I'm not late, hey

[Chorus 3]
For your sweet top lip I'm in the queue
Baby, I'm in love with you
I'm so glad you came here
It won't be the same now when I'm with you

[Outro]
I'm so glad you came here
It won't be the same now when I'm with you
Yeah, yeah, yeah

You know who loves you
You know who loves you
You know who loves you
You know who loves you

You know who loves you
You know who loves you
You know who loves you
You know who loves you
You know who loves you
You know

"
166,I’m Happy Just to Dance with You,"July 10, 1964",A Hard Day’s Night (UK),"

[Intro]
Before this dance is through
I think I'll love you too
I'm so happy when you dance with me

[Verse 1]
I don't want to kiss or hold your hand
If it's funny try and understand
There is really nothing else I'd rather do
'Cause I'm happy just to dance with you

[Verse 2]
I don't need to hug or hold you tight
I just want to dance with you all night
In this world there's nothing I would rather do
'Cause I'm happy just to dance with you

[Bridge]
Just to dance with you
Is everything I need
Before this dance is through
I think I'll love you too
I'm so happy when you dance with me

[Verse 3]
If somebody tries to take my place
Let's pretend we just can't see his face
In this world there's nothing I would rather do
'Cause I'm happy just to dance with you

[Bridge]
Just to dance with you
Is everything I need
Before this dance is through
I think I'll love you too
I'm so happy when you dance with me

[Verse 3]
If somebody tries to take my place
Let's pretend we just can't see his face
In this world there's nothing I would rather do
I've discovered I'm in love with you
'Cause I'm happy just to dance with you

"
167,Things We Said Today,"July 10, 1964",A Hard Day’s Night (UK),"

[Intro]

[Verse 1]
You say you will love me
If I have to go
You'll be thinkin' of me
Somehow I will know
Someday when I'm lonely
Wishing you weren't so far away
Then I will remember
Things we said today

[Verse 2]
You say you'll be mine, girl
Till the end of time
These days such a kind girl
Seems so hard to find
Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
Things we said today

[Bridge]
Me, I'm just the lucky kind
Love to hear you say that love is luck
And, though we may be blind
Love is here to stay and that's enough

[Verse 3]
To make you mine, girl
Be the only one
Love me all the time, girl
We'll go on and on
Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
Things we said today

[Bridge]
Me, I'm just the lucky kind
Love to hear you say that love is luck
And, though we may be blind
Love is here to stay and that's enough

[Verse 3]
To make you mine, girl
Be the only one
Love me all the time, girl
We'll go on and on
Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
Things we said today

"
168,You’re Going to Lose That Girl,"August 6, 1965",Help! (UK),"

[Chorus]
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)

[Verse 1]
If you don't take her out tonight
She's gonna change her mind (She's gonna change her mind)
And I will take her out tonight
And I will treat her kind (I'm gonna treat her kind)

[Chorus]
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)

[Verse 2]
If you don't treat her right, my friend
You're gonna find her gone, (You're gonna find her gone)
'Cause I will treat her right, and then
You'll be the lonely one (You're not the only one)

[Chorus]
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna loo... (Yes, yes, you're gonna lose that girl)

[Bridge]
I'll make a point
Of taking her away from you
(Watch what you do)
Yeah
The way you treat her
What else can I do?

[Guitar solo]
(You're gonna lose that girl)
(You're gonna lose that girl)

[Chorus]
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna loo... (Yes, yes, you're gonna lose that girl)

[Bridge]
I'll make a point
Of taking her away from you
(Watch what you do)
Yeah
The way you treat her
What else can I do?

[Verse 3]
If you don't take her out tonight
She's gonna change her mind (She's gonna change her mind)
And I will take her out tonight
And I will treat her kind (I'm gonna treat her kind)

[Chorus]
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)

"
169,The Night Before,"August 6, 1965",Help! (UK),"

[Verse 1]
We said our goodbyes (Ah, the night before)
Love was in your eyes (Ah, the night before)
Now, today, I find you have changed your mind
Treat me like you did the night before

[Verse 2]
Were you telling lies? (Ah, the night before?)
Was I so unwise? (Ah, the night before?)
When I held you near, you were so sincere
Treat me like you did the night before

[Bridge]
Last night is a night I will remember you by
When I think of things we did, it makes me wanna cry

[Verse 3]
We said our goodbye (Ah, the night before)
Love was in your eyes (Ah, the night before)
Now, today, I find you have changed your mind
Treat me like you did the night before
(Yes)

[Guitar solo]

[Refrain]
When I held you near, you were so sincere
Treat me like you did the night before

[Bridge]
Last night is a night I will remember you by
When I think of things we did, it makes me wanna cry

[Verse 4]
Were you telling lies? (Ah, the night before)
Was I so unwise? (Ah, the night before)
When I held you near, you were so sincere
Treat me like you did the night before
Like the night before

"
170,Flying,"November 27, 1967",Magical Mystery Tour (US),"

[Instrumental]

"
171,I’ll Be Back,"July 10, 1964",A Hard Day’s Night (UK),"

[Verse 1]
You know if you break my heart I'll go
But I'll be back again
'Cause I told you once before goodbye
But I came back again

[Bridge 1]
I love you so
I'm the one who wants you
Yes, I'm the one who wants you
Oh ho, oh ho, oh

[Verse 2]
You could find better things to do
Than to break my heart again
This time, I will try to show that I'm
Not trying to pretend

[Bridge 2]
I thought that you would realize
That if I ran away from you
That you would want me too
But I got a big surprise
Oh ho, oh ho, oh

[Verse 3]
You could find better things to do
Than to break my heart again
This time I will try to show that I'm
Not trying to pretend

[Bridge 1]
I wanna go
But I hate to leave you
You know I hate to leave you
Oh ho, oh ho, oh

[Outro]
You, if you break my heart I'll go
But I'll be back again

"
172,While My Guitar Gently Weeps (Anthology 3 Version),"October 28, 1996",Anthology 3,"

[Verse 1]
I look at you all, see the love there that's sleeping
While my guitar gently weeps
I look at the floor and I see it needs sweeping
Still my guitar gently weeps

[Verse 2]
I don't know why nobody told you
How to unfold your love
I don't know how someone controlled you
They bought and sold you

[Verse 3]
I look at the world and I notice it's turning
While my guitar gently weeps
With every mistake we must surely be learning
Still my guitar gently weeps

[Verse 4]
I don't know how you were diverted
You were perverted too
I don't know how
You were inverted
No one alerted you

[Verse 5]
I look from the wings at the play you are staging
While my guitar gently weeps
As I’m sitting here, doing nothing but aging
Still my guitar gently weeps

"
173,Ask Me Why,"March 22, 1963",Please Please Me,"

[Verse 1]
I love you, 'cause you tell me things I want to know
And it's true that it really only goes to show
That I know that I—I, I, I
Should never, never, never be blue

[Verse 2]
Now you're mine, my happiness still makes me cry
And in time, you'll understand the reason why
If I cry it's not because I'm sad
But you're the only love that I've ever had

[Bridge]
I can't believe it's happened to me
I can't conceive of any more—misery

[Chorus]
Ask me why, I'll say I love you
And I'm always thinking of you

[Verse 3]
I love you, 'cause you tell me things I want to know
And it's true that it really only goes to show
That I know that I—I, I, I
Should never, never, never be blue

[Chorus]
Ask me why, I'll say I love you
And I'm always thinking of you

[Bridge]
I can't believe it's happened to me
I can't conceive of any more—misery

[Outro]
Ask me why, I'll say I love you
And I'm always thinking of you
You
You

"
174,Only a Northern Song,"January 17, 1969",Yellow Submarine,"

[Verse 1]
If you're listening to this song
You may think the chords are going wrong
But they're not
We just wrote it like that

[Verse 2]
When you're listening late at night
You may think the band are not quite right
But they are
They just play it like that

[Chorus 1]
It doesn't really matter what chords I play
What words I say or time of day it is
As it's only a Northern song

[Instrumental Break]

[Chorus 2]
It doesn't really matter what clothes I wear
Or how I fare or if my hair is brown
When it's only a Northern song

[Verse 3]
If you think the harmony
Is a little dark and out of key
You're correct
There's nobody there
And I told you there's no one there

"
175,Hold Me Tight,"November 22, 1963",With the Beatles,"

[Verse 1]
It feels so right now, hold me tight
Tell me I'm the only one, and then I might
Never be the lonely one
So hold (hold), me tight (me tight)
Tonight (tonight), tonight (tonight)
It's you, you, you, you

[Verse 2]
Hold me tight
Let me go on loving you
Tonight, tonight
Making love to only you
So hold (hold), me tight (me tight)
Tonight (tonight), tonight (tonight)
It's you, you, you

[Bridge]
You don't know
What it means to hold you tight
Being here alone tonight with you
It feels so right

[Verse 1]
Now hold me tight
Tell me I'm the only one
And then I might
Never be the lonely one
So hold (hold), me tight (me tight)
Tonight (tonight), tonight (tonight)
It's you, you, you

[Bridge]
You don't know
What it means to hold you tight
Being here alone tonight with you
It feels so right

[Verse 2]
Now hold me tight
Let me go on loving you
Tonight tonight
Making love to only you
So hold (hold), me tight (me tight)
Tonight (tonight), tonight (tonight)
It's you, you, you, you, ooh-ooh, ooh-ooh
Oo-ooh, ooh-ooh
You, ooh-ooh

"
176,Tell Me Why,"July 10, 1964",A Hard Day’s Night (UK),"

[Chorus]
Tell me why you cried, and why you lied to me
Tell me why you cried, and why you lied to me

[Verse 1]
Well I gave you everything I had
But you left me sitting on my own
Did you have to treat me, oh, so bad
All I do is hang my head and moan

[Chorus]
Tell me why you cried, and why you lied to me
Tell me why you cried, and why you lied to me

[Verse 2]
If there's something I have said or done
Tell me what and I'll apologize
If you don't, I really can't go on
Holding back these tears in my eyes

[Chorus]
Tell me why you cried, and why you lied to me
Tell me why you cried, and why you lied to me

[Verse 3]
Well I beg you on my bended knees
If you'll only listen to my pleas
Is there anything I can do
'Cause I really can't stand it, I'm so in love with you

[Chorus]
Tell me why you cried, and why you lied to me
Tell me why you cried, and why you lied to me

"
177,A Taste of Honey,"March 22, 1963",Please Please Me,"

[Intro]
A taste of honey!
Tasting much sweeter than wine

[Verse 1]
I dream of your first kiss, and then
I feel upon my lips again
A taste of honey (A taste of honey)
Tasting much sweeter than wine

[Bridge]
I will return, yes I will return
I'll come back for the honey and you

[Verse 2]
Yours was the kiss that awoke my heart
There lingers still, though we're far apart
A taste of honey (A taste of honey)
Tasting much sweeter than wine

[Bridge]
I will return, yes I will return
I'll come back (He'll come back) for the honey (for the honey) and you

"
178,Baby’s in Black,"December 4, 1964",Beatles for Sale,"

[Chorus]
Oh dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

[Verse 1]
She thinks of him and so she dresses in black
And though he'll never come back, she's dressed in black

[Chorus]
Oh dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

[Verse 2]
I think of her, but she thinks only of him
And though it's only a whim, she thinks of him

[Bridge]
Oh how long will it take
Till she sees the mistake she has made?

[Chorus]
Dear what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

[Guitar Solo]

[Bridge]
Oh how long will it take
Till she sees the mistake she has made?

[Chorus]
Dear what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

[Verse 1]
She thinks of him and so she dresses in black
And though he'll never come back, she's dressed in black

[Chorus]
Oh dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

"
179,There’s a Place,"January 11, 1963",Please Please Me,"

[Verse 1]
There—
There's a place
Where I can go
When I feel low
When I feel blue
And it's my mind
And there's no time when I'm alone

[Verse 2]
I think of you
And things you do
Go round my head
The things you said
Like ""I love only you""

[Bridge]
In my mind there's no sorrow
Don't you know that it's so
There'll be no sad tomorrow
Don't you know that it's so

[Verse 3]
There is a place
Where I can go
When I feel low
When I feel blue
And it's my mind
And there's no time when I'm alone

[Outro]
There's a place
There's a place
There's a place
There's a place

"
180,Don’t Bother Me,"November 22, 1963",With the Beatles,"

[Verse 1]
Since she's been gone
I want no one to talk to me
It's not the same, but I'm to blame, it's plain to see
So go away, leave me alone
Don't bother me

[Verse 2]
I can't believe that she would leave me on my own
It's just not right, when every night I'm all alone
I've got no time for you right now
Don't bother me

[Bridge]
I know I'll never be the same
If I don't get her back again
Because I know she'll always be
The only girl for me

[Verse 3]
But till she's here
Please, don't come near, just stay away
I'll let you know when she's come home until that day
Don't come around, leave me alone
Don't bother me

[Guitar solo]

[Refrain]
I've got no time for you right now
Don't bother me

[Bridge]
I know I'll never be the same
If I don't get her back again
Because I know she'll always be
The only girl for me

[Verse 3]
But till she's here
Please, don't come near, just stay away
I'll let you know when she's come home until that day
Don't come around, leave me alone
Don't bother me

[Outro]
Don't bother me
Don't bother me
Don't bother me
Don't bother me
Don't-

"
181,Words of Love,"December 4, 1964",Beatles for Sale,"

[Verse 1]
Hold me close and tell me how you feel
Tell me love is real

[Verse 2]
Words of love you whisper soft and true
Darling, I love you

[Instrumental Verses]

[Verse 3]
Let me hear you say the words I long to hear
Darling, when you're near

[Verse 2]
Words of love you whisper soft and true
Darling, I love you

"
182,Chains,"March 22, 1963",Please Please Me,"

[Chorus]
Chains, my baby's got me locked up in chains
And they ain't the kind that you can see
Whoa, these chains of love got a hold on me, yeah
Chains, well I can't break away from these chains
Can't run around, 'cause I'm not free
Whoa, oh, these chains of love won't let me be, yeah

[Verse 1]
I wanna tell you, pretty baby
I think you're fine
I'd like to love you
But, darlin', I'm imprisoned by these

[Chorus]
Chains, my baby's got me locked up in chains
And they ain't the kind that you can see
Whoa, oh, these chains of love got a hold on me, yeah

[Verse 2]
Please believe me when I tell you
Your lips are sweet
I'd like to kiss them
But I can't break away from all of these

[Chorus]
Chains, my baby's got me locked up in chains
And they ain't the kind that you can see
Whoa, oh, these chains of love got a hold on me, yeah

[Outro]
Chains, chains of love
Chains of love
Chains of love

"
183,All I’ve Got to Do,"November 22, 1963",With the Beatles,"

[Verse 1]
Whenever I want you around, yeah
All I got to do
Is call you on the phone
And you'll come running home
Yeah, that's all I got to do

[Verse 2]
And when I, I want to kiss you, yeah
All I got to do
Is whisper in your ear
The words you long to hear
And I'll be kissin' you

[Bridge]
And the same goes for me
Whenever you want me at all
I'll be here, yes, I will
Whenever you call
You just got to call on me, yeah
You just got to call on me

[Verse 2]
And when I, I want to kiss you, yeah
All I got to do
Is call you on the phone
And you'll come runnin' home
Yeah, that's all I got to do

[Bridge]
And the same goes for me
Whenever you want me at all
I'll be here, yes, I will
Whenever you call
You just got to call on me, yeah
You just got to call on me

"
184,Money (That’s What I Want),"November 22, 1963",With the Beatles,"

[Verse 1]
The best things in life are free
But you can keep 'em for the birds and bees

[Chorus]
Now, give me money (That's what I want)
That's what I want (That's what I want)
That's what I want, yeah (That's what I want)
That's what I want

[Verse 2]
Your lovin' gives me a thrill
But your lovin' don't pay my bills

[Chorus]
Now, give me money (That's what I want)
That's what I want (That's what I want)
That's what I want, oh yeah (That's what I want)
That's what I want

[Verse 3]
Money don't get everything, it's true
What it don't get, I can't use

[Chorus]
Now, give me money (That's what I want)
That's what I want (That's what I want)
That's what I want, yeah (That's what I want)
That's what I want, whoa

[Verse 3]
Money don't get everything, it's true
What it don't get, I can't use

[Chorus]
Now, give me money (That's what I want)
That's what I want (That's what I want)
That's what I want, yeah (That's what I want)
That's what I want

[Outro]
Well, now, give me money (That's what I want)
Whole lot of money (That's what I want)
Wow, yeah, I wanna be free (That's what I want)
Oh, a lot of money (That's what I want)
That's what I want, yeah (That's what I want)
That's what I want
Well, now, give me money (That's what I want)
Whole lot of money (That's what I want)
Wow, yeah, you know I need money (That's what I want)
Oh, now, give me money (That's what I want)
That's what I want, yeah (That's what I want)
That's what I want

"
185,You Like Me Too Much,"August 6, 1965",Beatles VI,"

[Verse 1]
Though you've gone away this morning
You'll be back again tonight
Telling me there'll be no next time
If I just don't treat you right
You'll never leave me and you know it's true
'Cause you like me too much and I like you

[Verse 2]
You've tried before to leave me
But you haven't got the nerve
To walk out and make me lonely
Which is all that I deserve
You'll never leave me and you know it's true
'Cause you like me too much and I like you

[Bridge]
I really do, and it's nice when you believe me
If you leave me

[Verse 3]
I will follow you and bring you back where you belong
'Cause I couldn't really stand it
I admit that I was wrong
I wouldn't let you leave me 'cause it's true
'Cause you like me too much and I like you

[Refrain]
'Cause you like me too much and I like you

[Bridge]
I really do, and it's nice when you believe me
If you leave me

[Verse 4]
I will follow you and bring you back where you belong
'Cause I couldn't really stand it
I admit that I was wrong
I wouldn't let you leave me 'cause it's true
'Cause you like me too much and I like you
'Cause you like me too much and I like you

"
186,Mr. Moonlight,"December 4, 1964",Beatles for Sale,"

[Intro]
Mr. Moonlight

[Verse 1]
You came to me one summer night
And from your beam you made my dream
And from the world you sent my girl
And from above you sent us love
And now she is mine
I think you're fine
'Cause we love you, Mr. Moonlight

[Verse 2]
Mr. Moonlight, come again please
Here I am on my knees
Begging if you please
And the night you don't come my way
I'll pray and pray more each day
'Cause we love you, Mr. Moonlight

[Organ Solo]

[Refrain]
And the night you don't come my way
Oh, I'll pray and pray more each day
'Cause we love you, Mr. Moonlight
Mr. Moonlight

[Verse 2]
Mr. Moonlight, come again please
Here I am on my knees
Begging if you please
And the night you don't come my way
Oh I pray and pray more each day
'Cause we love you, Mr. Moonlight
Mr. Moonlight
Mr. Moonlight
Mr. Moonlight

"
187,Another Girl,"August 6, 1965",Help! (UK),"

[Chorus]
For I have got another girl
Another girl

[Verse 1]
You're making me say that I've got nobody but you
But as from today, well, I've got somebody that's new
I ain't no fool and I don't take what I don't want

[Chorus]
For I have got another girl
Another girl

[Verse 2]
She's sweeter than all the girls and I met quite a few
Nobody in all the world can do what she can do
And so I'm telling you, ""This time you'd better stop""

[Chorus]
For I have got another girl
Another girl

[Bridge]
Who will love me till the end
Through thick and thin
She will always be my friend

[Verse 3]
I don't want to say that I've been unhappy with you
But, as from today, well, I've seen somebody that's new
I ain't no fool and I don't take what I don't want

[Chorus]
For I have got another girl
Another girl

[Bridge]
Who will love me till the end
Through thick and thin
She will always be my friend

[Verse 3]
I don't want to say that I've been unhappy with you
But, as from today, well, I've seen somebody that's new
I ain't no fool and I don't take what I don't want

[Chorus]
For I have got another girl
Another girl
Another girl

"
188,I’ll Cry Instead,"July 10, 1964",A Hard Day’s Night (UK),"

[Verse 1]
I've got every reason on earth to be mad
Cause I've just lost the only girl I had
If I could get my way
I'd get myself locked up today
But I can't so I'll cry instead

[Verse 2]
I've got a chip on my shoulder that's bigger than my feet
I can't talk to people that I meet
If I could see you now
I'd try to make you sad somehow
But I can't so I'll cry instead

[Bridge]
Don't wanna cry when there's people there
I get shy when they start to stare
I'm gonna hide myself away-hey
But I'll come back again someday

[Verse 3]
And when I do you better hide all the girls
I'm gonna break their hearts all 'round the world
Yes, I'm gonna break 'em in two
And show you what your loving man can do
Until then I'll cry instead

[Bridge]
Don't wanna cry when there's people there
I get shy when they start to stare
I'm gonna hide myself away-hey
But I'll come back again someday

[Verse 3]
And when I do you better hide all the girls
'Cause I'm gonna break their hearts all 'round the world
Yes, I'm gonna break 'em in two
And show you what your loving man can do
Until then I'll cry instead

"
